species_code,large_tree_b0,large_tree_b1,large_tree_b2,large_tree_b3,large_tree_b4,large_tree_b5,large_tree_b6,large_tree_b7,large_tree_b8,large_tree_b9,large_tree_b10
AB,-1.251887,1.349337,-0.000447,0.193148,0.279322,-0.000287,-0.002547,-0.001176,-0.3804,0.160386,-0.088382
AE,-0.510736,1.164789,1e-07,0.127893,0.516517,0.00045,-0.003114,-0.001524,-0.446461,0.228712,0.069806
AH,-1.281144,1.335625,1e-06,0.111128,0.003444,0.005347,-0.003852,-0.000644,-0.224489,0.031993,-0.160702
AP,-1.746231,1.234133,-1.7e-05,0.285511,0.180572,0.002596,-0.001709,-9.9e-05,-0.872861,-0.078948,-0.023609
AS,-2.954457,1.461691,1e-07,0.377819,0.185353,0.007104,-0.002027,-0.000779,-0.619659,0.020132,-0.020785
BA,-0.897707,1.243091,1e-07,0.090158,0.496594,-0.000465,-1e-06,-0.00145,-0.158064,-0.138225,-0.081197
BB,-1.092055,1.024946,-0.000653,0.20677,0.489441,0.002354,-0.002005,-0.001848,-0.192793,-0.112449,0.113349
BC,-2.610023,1.22031,-0.000234,0.520739,0.181418,0.003897,-0.002494,-0.001904,-0.071719,-0.028196,-0.180664
BD,-1.848106,1.424209,-0.001488,0.289244,0.253525,0.003499,-0.001236,-0.002875,-0.580068,0.235707,-0.055862
BE,-0.871047,1.217898,-0.000105,0.240101,0.071213,-2.2e-05,-0.001242,-0.000826,-0.613177,0.315909,-0.237088
BG,-1.508549,1.306362,-0.000576,0.112403,0.121169,0.003356,-0.002482,-0.001013,-0.296628,-0.131968,-0.031596
BJ,-1.948938,1.611438,-0.000844,0.135696,0.056739,0.00274,-0.003558,-0.001825,-0.071837,-0.147407,0.241882
BK,-1.307911,0.963269,1e-07,0.268621,0.396699,0.003713,-0.001858,-0.001674,-0.335364,-0.084806,0.127896
BN,-2.35419,1.050171,-0.000154,0.425328,0.616257,0.001348,-0.000564,-0.000588,0.133415,-0.209729,0.014948
BO,-2.345845,1.45033,-0.000674,0.251441,0.527504,0.005921,-0.002235,-0.000862,-0.307814,-0.033568,0.054762
BT,-1.06898,1.164191,1e-07,0.084279,0.501307,0.0097,-0.001041,-0.001349,0.075733,-0.601088,-0.757088
BU,-1.876225,1.197048,-0.000778,0.183857,0.547747,0.010254,-0.004219,-0.000586,-0.178079,0.187157,-0.108544
BY,-1.73569,1.505649,-5.4e-05,0.132441,-0.119572,0.003996,-0.000502,-0.000768,-0.560585,-0.42814,-0.739509
CA,-1.06898,1.164191,1e-07,0.084279,0.501307,0.0097,-0.001041,-0.001349,0.075733,-0.601088,-0.757088
CB,-0.295485,1.239946,-0.000163,0.020622,0.431515,0.00383,-0.002257,-0.001826,-0.105862,0.191286,-0.324254
CK,-2.223515,0.937359,0.000212,0.286311,0.733279,0.008621,-0.000299,-0.001711,-0.065269,-0.008808,0.471906
CO,-2.900655,1.34735,-0.000533,0.300133,0.597032,0.008415,-0.001112,-0.001536,-0.133852,-0.05605,0.003947
CT,-1.239592,1.06336,-9.2e-05,0.243097,0.533202,-0.003084,0.00068,-0.001643,-0.308453,-0.071496,0.265688
CW,-1.06898,1.164191,1e-07,0.084279,0.501307,0.0097,-0.001041,-0.001349,0.075733,-0.601088,-0.757088
DW,-2.540719,1.293125,-0.000856,0.368481,-0.611245,0.004257,-0.003144,-0.001235,-0.282662,-0.084011,0.104748
EL,-2.356235,1.479429,-0.000517,0.425367,-0.083383,0.002767,-0.003132,-0.001352,-1.000956,-0.064524,-0.146557
FM,-1.685778,1.454506,-0.000818,0.242436,-0.140837,0.00436,-0.003268,-0.001923,-0.339807,-0.204878,-0.14711
FR,-2.267851,1.442529,-0.000548,0.568468,-0.403762,-0.001151,-0.000824,-0.002503,-0.241408,0.066508,0.086959
